"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible"
"CHE","SID184625","CHE2740_20250831","Chestnut Hill East","0","2740","004720","1"
"MED","SID184626","MED302_20250902","Center City Philadelphia","0","302","300007","1"
"WTR","SID184626","WTR302_20250902","West Trenton","0","302","004327","1"
"WTR","SID184626","WTR303_20250902","Center City Philadelphia","1","303","327004","1"
"MED","SID184626","MED303_20250902","Media","1","303","007300","1"
"MED","SID184626","MED304_20250902","Temple University","0","304","300007","1"
"MED","SID184626","MED306_20250902","Center City Philadelphia","0","306","300007","1"
"WTR","SID184626","WTR306_20250902","West Trenton","0","306","004327","1"
"MED","SID184626","MED3200_20250902","Center City Philadelphia","0","3200","300007","1"
"NOR","SID184626","NOR3200_20250902","Norristown Elm Street","0","3200","004228","1"
"MED","SID184626","MED3206_20250902","Center City Philadelphia","0","3206","300007","1"
"NOR","SID184626","NOR3206_20250902","Norristown Transit Center","0","3206","004228","1"
"MED","SID184626","MED3208_20250902","Center City Philadelphia","0","3208","300007","1"
"NOR","SID184626","NOR3208_20250902","Norristown Elm Street","0","3208","004228","1"
"WTR","SID184626","WTR3209_20250902","Center City Philadelphia","1","3209","327004","1"
"WIL","SID184626","WIL3209_20250902","Wilmington","1","3209","007201","1"
"MED","SID184626","MED3212_20250902","Center City Philadelphia","0","3212","300007","1"
"NOR","SID184626","NOR3212_20250902","Norristown Elm Street","0","3212","004228","1"
"MED","SID184626","MED3214_20250902","Center City Philadelphia","0","3214","300007","1"
"NOR","SID184626","NOR3214_20250902","Norristown Elm Street","0","3214","004228","1"
"MED","SID184626","MED3218_20250902","Center City Philadelphia","0","3218","300007","1"
"NOR","SID184626","NOR3218_20250902","Norristown Elm Street","0","3218","004228","1"
"WTR","SID184626","WTR3219_20250902","Center City Philadelphia","1","3219","327004","1"
"WIL","SID184626","WIL3219_20250902","Newark DE","1","3219","007201","1"
"MED","SID184626","MED3220_20250902","Center City Philadelphia","0","3220","300007","1"
"NOR","SID184626","NOR3220_20250902","Norristown Elm Street","0","3220","004228","1"
"MED","SID184626","MED3222_20250902","Center City Philadelphia","0","3222","300007","1"
"NOR","SID184626","NOR3222_20250902","Norristown Elm Street","0","3222","004228","1"
"MED","SID184626","MED3224_20250902","Center City Philadelphia","0","3224","300007","1"
"NOR","SID184626","NOR3224_20250902","Norristown Elm Street","0","3224","004228","1"
"MED","SID184626","MED3226_20250902","Center City Philadelphia","0","3226","300007","1"
"NOR","SID184626","NOR3226_20250902","Norristown Elm Street","0","3226","004228","1"
"MED","SID184626","MED3228_20250902","Center City Philadelphia","0","3228","300007","1"
"NOR","SID184626","NOR3228_20250902","Norristown Elm Street","0","3228","004228","1"
"MED","SID184626","MED3230_20250902","Center City Philadelphia","0","3230","300007","1"
"NOR","SID184626","NOR3230_20250902","Norristown Elm Street","0","3230","004228","1"
"WTR","SID184626","WTR3231_20250902","Center City Philadelphia","1","3231","327004","1"
"WIL","SID184626","WIL3231_20250902","Newark DE","1","3231","007201","1"
"MED","SID184626","MED3232_20250902","Center City Philadelphia","0","3232","300007","1"
"NOR","SID184626","NOR3232_20250902","Norristown Elm Street","0","3232","004228","1"
"MED","SID184626","MED3234_20250902","Center City Philadelphia","0","3234","300007","1"
"NOR","SID184626","NOR3234_20250902","Norristown Elm Street","0","3234","004228","1"
"MED","SID184626","MED3236_20250902","Center City Philadelphia","0","3236","300007","1"
"NOR","SID184626","NOR3236_20250902","Norristown Elm Street","0","3236","004228","1"
"MED","SID184626","MED334_20250902","Center City Philadelphia","0","334","300007","1"
"WTR","SID184626","WTR334_20250902","West Trenton","0","334","004327","1"
"MED","SID184626","MED3476_20250902","Center City Philadelphia","0","3476","300007","1"
"WAR","SID184626","WAR3476_20250902","Glenside","0","3476","004417","1"
"WTR","SID184626","WTR3501_20250902","Center City Philadelphia","1","3501","327004","1"
"PAO","SID184626","PAO3501_20250902","Malvern","1","3501","007501","1"
"MED","SID184626","MED3504_20250902","Center City Philadelphia","0","3504","300007","1"
"LAN","SID184626","LAN3504_20250902","Lansdale","0","3504","004538","1"
"MED","SID184625","MED3506_20250831","Center City Philadelphia","0","3506","300007","1"
"LAN","SID184625","LAN3506_20250831","Doylestown","0","3506","004538","1"
"MED","SID184625","MED3510_20250831","Center City Philadelphia","0","3510","300007","1"
"LAN","SID184625","LAN3510_20250831","Doylestown","0","3510","004538","1"
"MED","SID184625","MED3514_20250831","Center City Philadelphia","0","3514","300007","1"
"LAN","SID184625","LAN3514_20250831","Doylestown","0","3514","004538","1"
"MED","SID184625","MED3518_20250831","Center City Philadelphia","0","3518","300007","1"
"LAN","SID184625","LAN3518_20250831","Doylestown","0","3518","004538","1"
"MED","SID184625","MED3522_20250831","Center City Philadelphia","0","3522","300007","1"
"LAN","SID184625","LAN3522_20250831","Doylestown","0","3522","004538","1"
"MED","SID184625","MED3526_20250831","Center City Philadelphia","0","3526","300007","1"
"LAN","SID184625","LAN3526_20250831","Doylestown","0","3526","004538","1"
"LAN","SID184626","LAN3526_20250902","Doylestown","0","3526","004538","1"
"MED","SID184625","MED3530_20250831","Center City Philadelphia","0","3530","300007","1"
"LAN","SID184625","LAN3530_20250831","Doylestown","0","3530","004538","1"
"MED","SID184625","MED3534_20250831","Center City Philadelphia","0","3534","300007","1"
"LAN","SID184625","LAN3534_20250831","Doylestown","0","3534","004538","1"
"MED","SID184625","MED3538_20250831","Center City Philadelphia","0","3538","300007","1"
"LAN","SID184625","LAN3538_20250831","Doylestown","0","3538","004538","1"
"WTR","SID184626","WTR3541_20250902","Center City Philadelphia","1","3541","327004","1"
"PAO","SID184626","PAO3541_20250902","Malvern","1","3541","007501","1"
"MED","SID184625","MED3542_20250831","Center City Philadelphia","0","3542","300007","1"
"LAN","SID184625","LAN3542_20250831","Doylestown","0","3542","004538","1"
"MED","SID184625","MED3546_20250831","Center City Philadelphia","0","3546","300007","1"
"LAN","SID184625","LAN3546_20250831","Doylestown","0","3546","004538","1"
"WTR","SID184626","WTR3549_20250902","Center City Philadelphia","1","3549","327004","1"
"PAO","SID184626","PAO3549_20250902","Thorndale","1","3549","007501","1"
"MED","SID184625","MED3550_20250831","Center City Philadelphia","0","3550","300007","1"
"LAN","SID184625","LAN3550_20250831","Doylestown","0","3550","004538","1"
"WTR","SID184626","WTR3553_20250902","Center City Philadelphia","1","3553","327004","1"
"PAO","SID184626","PAO3553_20250902","Malvern","1","3553","007501","1"
"MED","SID184625","MED3554_20250831","Center City Philadelphia","0","3554","300007","1"
"LAN","SID184625","LAN3554_20250831","Doylestown","0","3554","004538","1"
"WTR","SID184626","WTR3557_20250902","Center City Philadelphia","1","3557","327004","1"
"PAO","SID184626","PAO3557_20250902","Thorndale","1","3557","007501","1"
"MED","SID184625","MED3558_20250831","Center City Philadelphia","0","3558","300007","1"
"LAN","SID184625","LAN3558_20250831","Doylestown","0","3558","004538","1"
"WTR","SID184626","WTR3561_20250902","Center City Philadelphia","1","3561","327004","1"
"PAO","SID184626","PAO3561_20250902","Malvern","1","3561","007501","1"
"MED","SID184625","MED3562_20250831","Center City Philadelphia","0","3562","300007","1"
"LAN","SID184625","LAN3562_20250831","Doylestown","0","3562","004538","1"
"MED","SID184625","MED3566_20250831","Center City Philadelphia","0","3566","300007","1"
"LAN","SID184625","LAN3566_20250831","Doylestown","0","3566","004538","1"
"MED","SID184625","MED3570_20250831","Center City Philadelphia","0","3570","300007","1"
"LAN","SID184625","LAN3570_20250831","Doylestown","0","3570","004538","1"
"MED","SID184625","MED3574_20250831","Center City Philadelphia","0","3574","300007","1"
"LAN","SID184625","LAN3574_20250831","Doylestown","0","3574","004538","1"
"WTR","SID184626","WTR3591_20250902","Center City Philadelphia","1","3591","327004","1"
"PAO","SID184626","PAO3591_20250902","Thorndale","1","3591","007501","1"
"LAN","SID184626","LAN3592_20250902","Doylestown","0","3592","004538","1"
"MED","SID184626","MED366_20250902","Center City Philadelphia","0","366","300007","1"
