route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_short_name
PAO,SID189778,PAO8507_20260726_SID189778,Malvern,1,8507,007501,0,1,PAO8507
FOX,SID189792,FOX8515_20260621_SID189792,Center City Philadelphia,1,8515,815005,0,1,FOX8515
PAO,SID189792,PAO8515_20260621_SID189792,Malvern,1,8515,007501,0,1,PAO8515
FOX,SID189321,FOX8515_20260627_SID189321,Center City Philadelphia,1,8515,815005,0,1,FOX8515
PAO,SID189321,PAO8515_20260627_SID189321,Thorndale,1,8515,007501,0,1,PAO8515
FOX,SID189778,FOX8515_20260726_SID189778,Center City Philadelphia,1,8515,815005,0,1,FOX8515
PAO,SID189778,PAO8515_20260726_SID189778,Malvern,1,8515,007501,0,1,PAO8515
FOX,SID189792,FOX8523_20260621_SID189792,Center City Philadelphia,1,8523,815005,0,1,FOX8523
PAO,SID189792,PAO8523_20260621_SID189792,Malvern,1,8523,007501,0,1,PAO8523
FOX,SID189321,FOX8523_20260627_SID189321,Center City Philadelphia,1,8523,815005,0,1,FOX8523
PAO,SID189321,PAO8523_20260627_SID189321,Thorndale,1,8523,007501,0,1,PAO8523
FOX,SID189778,FOX8523_20260726_SID189778,Center City Philadelphia,1,8523,815005,0,1,FOX8523
PAO,SID189778,PAO8523_20260726_SID189778,Malvern,1,8523,007501,0,1,PAO8523
FOX,SID189324,FOX853_20260622_SID189324,Center City Philadelphia,1,853,815005,2,1,FOX853
CHW,SID189324,CHW853_20260622_SID189324,Chestnut Hill West,1,853,007801,0,1,CHW853
FOX,SID189321,FOX8531_20260627_SID189321,Center City Philadelphia,1,8531,815005,0,1,FOX8531
PAO,SID189321,PAO8531_20260627_SID189321,Thorndale,1,8531,007501,0,1,PAO8531
FOX,SID189792,FOX8531_20260621_SID189792,Center City Philadelphia,1,8531,815005,0,1,FOX8531
PAO,SID189792,PAO8531_20260621_SID189792,Malvern,1,8531,007501,0,1,PAO8531
FOX,SID189778,FOX8531_20260726_SID189778,Center City Philadelphia,1,8531,815005,0,1,FOX8531
PAO,SID189778,PAO8531_20260726_SID189778,Malvern,1,8531,007501,0,1,PAO8531
FOX,SID189321,FOX8539_20260627_SID189321,Center City Philadelphia,1,8539,815005,0,1,FOX8539
PAO,SID189321,PAO8539_20260627_SID189321,Thorndale,1,8539,007501,0,1,PAO8539
